parcelId,BuildingType,PrimaryPropertyType,LargestPropertyUseType,YearBuilt,NumberofBuildings,NumberofFloors,SourceEUI,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse,Building Description,Building Gross Sq Ft,Building Net Sq Ft,Building Number,Building Quality,Construction Class,Eff. Year,Elevators,Heating System,Number Of Buildings Aggregated,Percentage Complete,Predominant Use,Shape,Sprinklers,Stories,Year Built
0659000030,NonResidential,Hotel,Hotel,1927,1,12,182.5,88434,60,7226362.5,MAYFLOWER PARK HOTEL,88434,80538,1,AVERAGE,REINFORCED CONCRETE,1995,Yes,STEAM WITHOUT BOILER,1,100,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,12,1927
0659000220,NonResidential,Hotel,Hotel,1996,1,11,176.1000061,103566,61,8387933,PARAMOUNT HOTEL,103566,88502,1,GOOD,REINFORCED CONCRETE,2000,Yes,HEAT PUMP,1,100,"HOTEL, FULL SERVICE (841)",Rect or Slight Irreg,Yes,11,1996
0659000475,NonResidential,Hotel,Hotel,1969,1,41,241.8999939,956110,43,72587024,WESTIN HOTEL,377813,315188,1,GOOD/EXCELLENT,STRUCTURAL STEEL,2000,Yes,REFRIGERATED COOLING,1,100,"HOTEL, FULL SERVICE (841)",Rect or Slight Irreg,Yes,41,1969
0659000640,NonResidential,Hotel,Hotel,1926,1,10,216.1999969,61320,56,6794584,HOTEL MAX,61320,56836,1,AVERAGE/GOOD,STRUCTURAL STEEL,1995,Yes,WARMED AND COOLED AIR,1,100,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,10,1926
0659000970,NonResidential,Hotel,Hotel,1980,1,18,211.3999939,175580,75,14172606,WARWICK HOTEL SEATTLE,119890,119890,1,GOOD,REINFORCED CONCRETE,1990,Yes,HEAT PUMP,1,100,"HOTEL, FULL SERVICE (841)",Rect or Slight Irreg,Yes,18,1980
0660000560,Nonresidential COS,Other,Police Station,1999,1,2,316.2999878,97288,,12086616,POLICE PRECINCT STATION,97288,52658,1,GOOD,MASONRY,1999,Yes,PACKAGE UNIT,1,100,JAIL - POLICE STATION (489),Long Rect or Irreg,Yes,2,1999
0660000825,NonResidential,Hotel,Hotel,1926,1,11,146.6000061,83008,27,5758795,WORLDMARK BY WYNDHAM,83008,81352,1,AVERAGE/GOOD,REINFORCED CONCRETE,1995,Yes,COMPLETE HVAC,1,100,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,11,1926
0660000955,NonResidential,Other,Other - Entertainment/Public Assembly,1926,1,8,141.6999969,102761,,6298131.5,Live THEATER/APT,102761,95201,1,AVERAGE,MASONRY,1980,Yes,COMPLETE HVAC,1,100,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,8,1926
0939000080,NonResidential,Hotel,Hotel,1904,1,15,180.8999939,163984,43,13723820,COURTYARD MARRIOTT PIONEER SQUARE,163984,163984,1,AVERAGE,STRUCTURAL STEEL,1995,Yes,WARMED AND COOLED AIR,1,100,"HOTEL, FULL SERVICE (841)",Rect or Slight Irreg,Yes,15,1904
0939000105,Multifamily MR (5-9),Mid-Rise Multifamily,Multifamily Housing,1910,1,6,182.6999969,63712,1,4573777,AIDS HOUSING OF WASHINGTON,63712,53261,1,AVERAGE,MASONRY,1975,Yes,STEAM,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,6,1910
0942000145,NonResidential,Hotel,Hotel,1969,1,11,228.1999969,153163,30,16016644,HOTEL MONACO,153163,133884,1,GOOD/EXCELLENT,REINFORCED CONCRETE,2000,Yes,WARMED AND COOLED AIR,1,100,"HOTEL, FULL SERVICE (841)",Rect or Slight Irreg,Yes,11,1969
0942000165,NonResidential,Hotel,Hotel,1998,1,25,199,333176,36,26941110,W SEATTLE HOTEL,333176,272015,1,GOOD/EXCELLENT,REINFORCED CONCRETE,2010,Yes,COMPLETE HVAC,1,100,"HOTEL, FULL SERVICE (841)",Very Irreg,Yes,25,1998
0942000210,NonResidential,Hotel,Hotel,1928,1,9,153.6000061,65009,48,6596057.5,EXECUTIVE HOTEL PACIFIC,65009,65009,1,AVERAGE/GOOD,REINFORCED CONCRETE,1995,Yes,STEAM WITHOUT BOILER,1,100,"Hotel, Full Service (594)",Approx Square,Yes,9,1928
