parcelId,Building Description,Building Gross Sq Ft,Building Net Sq Ft,Building Number,Building Quality,Construction Class,Eff. Year,Elevators,Heating System,Number Of Buildings Aggregated,Percentage Complete,Predominant Use,Shape,Sprinklers,Stories,Year Built
0001800021,APTS & SHOPS,"28,944","26,824",1,AVERAGE,MASONRY,1970,,HOT WATER,1,100,MIXED USE RETAIL (830),Rect or Slight Irreg,No,2,1914
0001800033,WHSE/OFFICE,"47,870","47,870",1,AVERAGE,MASONRY,1979,,SPACE HEATERS,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,1962
0001800113,WAREHOUSE,"128,800","128,800",1,AVERAGE,MASONRY,1985,,SPACE HEATERS,1,100,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,1977
0001800128,INDUSTRIAL BLDG,"44,100","44,100",1,AVERAGE,PREFAB STEEL,1976,,SPACE HEATERS,1,100,INDUSTRIAL HEAVY MANUFACTURING (495),Rect or Slight Irreg,Yes,1,1976
0001800137,BLDG C-1,"23,489","23,489",1,EXCELLENT,STRUCTURAL STEEL,2008,Yes,COMPLETE HVAC,1,100,VOCATIONAL SCHOOLS (487),Very Irreg,Yes,2,2007
0001800159,SHOP/OFF,"27,800","27,800",1,AVERAGE,MASONRY,1975,,SPACE HEATERS,1,100,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,1965
0002400002,PUGET SOUND PLAZA,"424,690","272,208",5,AVERAGE/GOOD,STRUCTURAL STEEL,1978,Yes,WARMED AND COOLED AIR,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,21,1960
0003600052,DISCOUNT STORE/OFFICE,"291,940","291,940",1,AVERAGE,MASONRY,1985,,WARMED AND COOLED AIR,1,100,DISCOUNT STORE (319),Rect or Slight Irreg,Yes,2,1980
0005000001,SEADRUNAR TRAINING BLDG,"7,460","7,460",1,AVERAGE,WOOD FRAME,2000,,NO HEAT,1,100,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,No,1,1961
0005200056,INDUSTRIAL BLDG,"22,800","22,800",1,LOW COST,PREFAB STEEL,1955,,SPACE HEATERS,1,100,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,No,1,1952
0007400015,WHSE/OFF,"91,360","91,360",1,AVERAGE,MASONRY,1979,,SPACE HEATERS,1,100,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,1970
0007600129,Mixed Use - Apts/Retail/Office,"40,800","23,243",1,AVERAGE,WOOD FRAME,2010,Yes,ELECTRIC,1,100,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,4,2005
0007600137,ELEMENTARY SCHOOL,"52,028","52,028",1,AVERAGE,MASONRY,1989,,FORCED AIR UNIT,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,1,1989
0007600192,OFFICE BLDG,"38,460","29,110",1,AVERAGE,MASONRY,1989,Yes,HOT WATER,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,1910
